"base_note","product_id"
琥珀,1615
檀香,1616
琥珀,1617
廣藿香,1618
果子狸,1619
橡苔,1620
香根草,1621
nan,1622
麝香,1623
橡樹苔,1624
雪松,1625
琥珀,1626
麝香,1627
琥珀,1628
香草,1629
羊絨香,1630
摩洛哥雪松,1631
nan,1632
香草,1633
香根草,1634
琥珀,1635
柏木,1636
羊絨木,1637
檀香木,1638
香草,1639
梅花木,1640
菸草,1641
琥珀,1642
雪松,1643
零陵香豆麝香琥珀,1644
麝香,1645
龍涎香,1646
皮革,1647
香草,1648
零陵香豆,1649
羊絨木,1650
癒創木,1651
香豆素,1652
檀香木,1653
琥珀,1654
麝香,1655
香根草,1656
雪松,1657
勞丹脂,1658
橡苔,1659
香草,1660
雪松,1661
琥珀木質香,1662
鼠尾草,1663
琥珀,1664
檀香木,1665
日本扁柏木,1666
雪松,1667
茶葉,1668
麝香,1669
大米,1670
麝香,1671
琥珀,1672
檀香木,1673
香根草,1674
金色木調,1675
麝香及檀香木,1676
礦物麝香,1677
豆,1678
香,1679
藏紅花,1680
麝香,1681
雪松,1682
木質香,1683
檀香,1684
海地香根草,1685
印度廣藿香,1686
薰衣草,1687
麝香,1688
弗吉尼亞州雪松,1689
廣藿香,1690
白琥珀,1691
麝香,1692
琥珀,1693
廣藿香,1694
香草,1695
雪松,1696
零陵香豆精油,1697
三重麝香,1698
琥珀木,1699
葛縷子,1700
琥珀,1701
麝香,1702
肉豆蔻,1703
蓮花,1704
絨面革,1705
紫羅蘭葉,1706
苔蘚,1707
奶油檀香,1708
果仁糖,1709
降龍涎醚,1710
麝香,1711
香草,1712
雪松,1713
麝香,1714
琥珀,1715
木質香,1716
藏紅花,1717
乳香,1718
麝香羊絨木,1719
紅雪松,1720
廣藿香,1721
琥珀木,1722
木香,1723
麝香,1724
檀香,1725
大溪地香草,1726
依蘭,1727
零陵香豆,1728
廣藿香,1729
黑琥珀,1730
巴西玫瑰木,1731
零陵香豆,1732
香根草,1733
革,1734
檀香,1735
麝香,1736
香草,1737
琥珀,1738
廣藿香,1739
琥珀,1740
廣藿香,1741
白麝香,1742
雪松,1743
麝香,1744
香草,1745
羊絨木,1746
雪松,1747
檀香,1748
廣藿香,1749
豆,1750
麝香,1751
弗吉尼亞雪松,1752
黑香豆,1753
琥珀,1754
麝香,1755
香草,1756
巖蘭草,1757
鳶尾,1758
麝香,1759
香草,1760
檀香,1761
麝香琥珀雪松,1762
香根草,1763
nan,1764
廣藿香,1765
檀香,1766
天芥菜,1767
香草,1768
煙草,1769
麝香,1770
廣藿香,1771
木,1772
東卡豆,1773
廣藿香,1774
香草,1775
麝香,1776
檀香,1777
無花果木,1778
安息香,1779
麝香,1780
橡苔,1781
琥珀,1782
灌裝機,1783
蘇合香脂,1784
煙草葉,1785
香草豆,1786
檀香,1787
零陵香豆,1788
琥珀,1789
雪松,1790
麝香,1791
香根草,1792
白麝香,1793
雪松木,1794
橡苔,1795
琥珀木,1796
檀香,1797
白麝香,1798
nan,1799
皮革,1800
琥珀,1801
西洋杉,1802
豌豆,1803
鳶尾木,1804
香草,1805
白木白麝香橙花,1806
香根草,1807
雪松,1808
乳香,1809
白麝香,1810
